Date / Time,City,State,Shape,Duration,Summary,Posted
12/05/2020 17:55,Shirley,NY,Sphere,20 seconds,"I was driving down a long stretch of road when I saw off to the side a neon green sphere that dropped out of the sky, stopped, then sho",3/02/2021
12/05/2020 17:30,Mount Shasta,CA,Light,1-2 minutes,"20+ star-like, spread out objects moving in unison",12/23/20
12/05/2020 9:34,Hanover,MD,,,MADAR Node 77,12/23/20
12/05/2020 8:30,North bend,WA,Other,30 seconds,"I was waiting at the traffic light in town when I looked over to my right, above mailbox peak. What I saw was a very small, &quot;U&quo",12/23/20
12/05/2020 5:06,Orlando,FL,Light,2 minutes,White circle of light and silver - vanished after 2 minutes,12/23/20
12/04/2020 23:20,Gig Harbor,WA,Diamond,30,"I witnessed 2 diamond shaped hovering objects, multi colored lights, in the sky's above Purdy, WA. They are either quite small, or very",12/23/20
12/04/2020 23:00,Spokane,WA,Disk,1 hour,Eastern Washington to the right of the moon and is a light flashing many colors like a twinkle of a star but bigger and twinkling faste,12/23/20
12/04/2020 22:20,Springfield,MO,Triangle,6 seconds,The dim lights are all that we could see with no flashing. And no visible trail or sound.,12/23/20
12/04/2020 22:08,Lathrop,CA,Sphere,5min,Two ufo's sighted over Lathrop CA at 10pm.,12/23/20
12/04/2020 19:20,Mountain home,ID,Light,2 minutes,Straight Line of 10 “stars” seen in the sky to the southwest in western Idaho,12/23/20
12/04/2020 19:15,Hailey,ID,Other,3-4 minutes,Straight line of lights in the sky that disappeared one at a time.,12/23/20
12/04/2020 19:15,Middleton,ID,Light,5 minutes,Line of bright white illuminated projectiles,12/23/20
12/04/2020 19:15,Deweyville,UT,,5min,,12/23/20
12/04/2020 19:15,Deweyville,UT,Circle,5min,Straight angled line of lights in the sky,12/23/20
12/04/2020 19:05,Riverton,WY,Light,approx. 1 minute,Round Light Object in sky,12/23/20
12/04/2020 19:00,Iowa City,IA,Sphere,40s,UFO fleet in straight line pattern over Iowa City 04Dec2020,12/23/20
12/04/2020 19:00,Pacific City,OR,Light,1 minute,A stacking column of lights,12/23/20
12/04/2020 18:50,Valentine,NE,Circle,3 minutes,Very bright white lights moved in a straight line from west to east from Jupiter to Mars. Approximately 100 in the first event then 38,12/23/20
12/04/2020 18:50,Grants Pass,OR,Formation,less than a minute,string of lights moving in a linear pattern and disappearing,12/23/20
12/04/2020 18:46,Blair,NE,Light,2 minutes,A string of 12 lights moving southwest to northeast,12/23/20
12/04/2020 18:45,Mc Henry,IL,Formation,3-5 minutes,12-15 white dot/dashes in straight line formation in Northern Illinois,12/23/20
12/04/2020 18:45,Alfred,ME,Diamond,7 minutes,I’ve seen drones fly in a night sky these things were so visible they were very noticeable,12/23/20
12/04/2020 18:30,South whitley,IN,Unknown,30/45 seconds,"13 lights (what looked like stars but a bit bigger) moving at a steady pace, perfectly spaced out (but too close for airplanes) in a st",12/23/20
12/04/2020 18:30,Boulder,CO,Circle,2 minutes,Uniform diagonal line of lights slowly moving across sky,12/23/20
12/04/2020 18:20,Longmont,CO,Formation,2 min,Line of individual lights in Boulder County,12/23/20
12/04/2020 18:15,Evergreen,CO,Circle,4 min.,Observed 15-20 white lights evenly spaced apart moving semi vertically in unison in the mountain sky.,12/23/20
12/04/2020 18:15,Lafayette,CO,Light,5 Min,16 Lights following each other in a row,12/23/20
12/04/2020 18:13,Vacaville,CA,Formation,5minutes,"75-100 Light formation over Vacaville, California",12/23/20
12/04/2020 18:00,Nashville,TN,Light,5 minutes,As I was leaving work tonight I saw an odd light in the sky above my office. At first I thought it wasa shoot light or maybe a plane. I,12/23/20
12/04/2020 18:00,Granite City,IL,Formation,1 minute,String of lights in the night sky,12/23/20
12/04/2020 17:46,Laramie,WY,Formation,1 minute,Seven dim lights in the eastern sky were moving slowly in a northeasterly direction in a uniform fashion.,12/23/20
12/04/2020 17:45,Brookfield,IL,Unknown,2 minutes,Walked outside to take my dog out. Looked up at the sky and saw several things that looked like stars moving across the sky to the sout,12/23/20
12/04/2020 17:45,Santa Fe,NM,Light,30-45 seconds,"Bright lights (at least 10) in formation traveling at high altitude west to east at supersonic speed over Santa Fe, NM (seriously)",12/23/20
12/04/2020 17:45,Poplar Bluff,MO,Formation,&gt;3 min,10-15 stars in perfect formation traveling East. My son could not focus his phone to capture video. Amazing to see!,12/23/20
12/04/2020 17:30,Verona,WI,Other,3 min,Straight line of 24 to 30 lights equally spaced moving across the sky.,12/23/20
12/04/2020 17:30,Englewood,CO,Formation,30 seconds,"A saw a few dozen or so single white lights flying slowly in a perfect straight line. Looked about 1,000 ft. in elevation and a few hun",12/23/20
12/04/2020 17:00,Pueblo,CO,Light,30 seconds,"5:30 or 5:40. Saw about 30 lights traveling from west to east. Evenly spaced across the entire visible night sky. Very high up, possibl",12/23/20
12/04/2020 16:00,"Municipal of Puerto Morelos,",,Sphere,20 seconds,saw 2 translucent/white objects moving quickly in sky,12/23/20
12/04/2020 6:45,Urbandale,IA,Formation,2 minutes,"At approximately 6:45pm, I walked outside with my family. We saw at least 20 lights in a line move in unison. The lights disappeared as",12/23/20
12/04/2020,Ft.atkinson,IA,Circle,10 minutes,50 round lights in perfect row starting nw sky to nc sky moving slow. At aprox. 45 degees in sky lights faded out one at a time. Ligh,12/23/20
12/03/2020 22:00,Salina,KS,Light,,My boyfriend was outside smoking a cigarette when he called me to the front porch there was at least 10 lights in a row going the same,12/23/20
12/03/2020 21:02,Jonesboro,AR,,,MADAR Node 143,12/23/20
12/03/2020 20:00,Boise,ID,Light,5 min,What looked like plane headlights approaching that suddenly streaked across the sky.,12/23/20
12/03/2020 19:45,Columbus,OH,Light,~1 minute,"Line of lights in western sky above Columbus, OH",12/23/20
